CoinA,CoinB,profit,std,total_trades
CELOUSDT,AEVOUSDT,-0.05762514256785356,0.015167830314066535,70
CELOUSDT,ANKRUSDT,-0.1775757333889674,0.01749198233606896,66
CELOUSDT,AXSUSDT,-0.033999295247658656,0.0224544927090005,4
CELOUSDT,C98USDT,-0.07333556503494817,0.018201955504548464,64
CELOUSDT,ENSUSDT,-0.16576420052112625,0.022560968403981127,78
CELOUSDT,FILUSDT,-0.004014576258546286,0.018899549595043377,58
CELOUSDT,GRTUSDT,-0.09299333581409237,0.019018063358020632,76
CELOUSDT,IOTAUSDT,-0.06607402577651185,0.015755947225809735,72
CELOUSDT,MANTAUSDT,-0.00970754992544872,0.018087274993131237,84
CELOUSDT,MINAUSDT,-0.0015764036450385335,0.020412498910701144,68
CELOUSDT,NEARUSDT,0.004901650952577194,0.012811489771873486,28
CELOUSDT,SANDUSDT,-0.07853188290161942,0.0162659789428451,74
CELOUSDT,SHIBUSDT,-0.04287116508613421,0.01778876656564204,62
CELOUSDT,THETAUSDT,0.1742246352845168,0.01915121568370506,98
CELOUSDT,WAXPUSDT,-0.06777806450243168,0.016357254788639707,62
CELOUSDT,WOOUSDT,-0.0819978091221271,0.015881730754561486,68
CELOUSDT,ZILUSDT,-0.11115109058597318,0.016516227901650193,64
CELOUSDT,SXPUSDT,-0.0635877776352367,0.01602329816434808,78
CELOUSDT,ZRXUSDT,-0.11441005086645563,0.01703707868510083,84
COMPUSDT,BEAMUSDT,-0.051036416586761425,0.020381058051950916,86
COMPUSDT,GRTUSDT,-0.12071099909380348,0.018886387959145524,84
COMPUSDT,MINAUSDT,0.050948044059996166,0.0180197981062045,86
COMPUSDT,THETAUSDT,-0.14992143184160592,0.018270479309518493,88
DOTUSDT,ACEUSDT,-0.06494921787486113,0.018420859364106396,100
DOTUSDT,ENSUSDT,-0.20195412940922075,0.02305550452529813,60
DOTUSDT,IOTAUSDT,0.009768813553725005,0.013484743199864263,68
DOTUSDT,JASMYUSDT,-0.24035487247573287,0.019018554450834016,60
DOTUSDT,MANTAUSDT,-0.0951067257701042,0.01570232858813906,70
DOTUSDT,MEWUSDT,0.0007942818060626446,0.022165264541807343,58
DOTUSDT,ONDOUSDT,-0.07548923254489644,0.016049528338250636,68
DOTUSDT,PEPEUSDT,0.014461888224432298,0.01752165355796123,68
DOTUSDT,SYSUSDT,-0.016844020124047933,0.02763875217274176,4
DOTUSDT,WAXPUSDT,-0.014975532670102812,0.01491355046513584,58
DOTUSDT,WLDUSDT,-0.1880656820887969,0.022595179075411982,88
DOTUSDT,XAIUSDT,-0.12843537890974818,0.017632145658616708,70
ENJUSDT,1000XECUSDT,0.0032893904033342667,0.0196940461293472,52
ENJUSDT,AXSUSDT,-0.23276022041459168,0.01778922946739913,72
ENJUSDT,C98USDT,-0.06933990340069704,0.019717316853930068,84
ENJUSDT,GRTUSDT,-0.11496774892477495,0.020847359195652972,86
ENJUSDT,ICPUSDT,-0.22904686311025707,0.020673733883357998,58
ENJUSDT,MANTAUSDT,-0.04411277859071475,0.0164766902687495,62
ENJUSDT,SANDUSDT,-0.07307401428186334,0.018562084577436466,80
ENJUSDT,SHIBUSDT,-0.050609841323670295,0.019234037967647687,32
ENJUSDT,VANRYUSDT,0.06297244760321791,0.023845949345820513,52
ENJUSDT,ZILUSDT,0.028870852186380837,0.01975353767590139,38
ENSUSDT,1000XECUSDT,-0.12561235843322754,0.0282557129537319,24
ENSUSDT,MBOXUSDT,-0.01798968463902235,0.021776581360561053,6
ENSUSDT,ACEUSDT,-0.031166334189435912,0.027983063650386792,32
ENSUSDT,ACHUSDT,-0.11669265886351812,0.027856480680616826,24
ENSUSDT,AEVOUSDT,-0.0852951633114722,0.02360242717772107,48
ENSUSDT,ANKRUSDT,-0.11833827963686033,0.02660963793602668,34
ENSUSDT,AXSUSDT,0.00010726874523284743,0.02409867603217313,48
ENSUSDT,C98USDT,-0.07980830314050558,0.025902353126704802,34
ENSUSDT,CELOUSDT,-0.08883585501151481,0.023157837288960145,38
ENSUSDT,DOTUSDT,-0.14293615350641775,0.02052534823477056,44
ENSUSDT,FILUSDT,-0.0630952018015002,0.026808908823366225,24
